department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2005,1,< de 2 anos-H,41
La Paz,20201,Achacachi,2005,1,< de 2 anos-H,279
La Paz,20104,Achocalla,2005,1,< de 2 anos-H,15
Cochabamba,30201,Aiquile,2005,1,< de 2 anos-H,36
Cochabamba,31303,Alalay,2005,1,< de 2 anos-H,14
Chuquisaca,10404,Alcala,2005,1,< de 2 anos-H,19
La Paz,20202,Ancoraimes,2005,1,< de 2 anos-H,86
Oruro,41201,Andamarca,2005,1,< de 2 anos-H,13
Oruro,40603,Antequera,2005,1,< de 2 anos-H,8
Cochabamba,30402,Anzaldo,2005,1,< de 2 anos-H,5
La Paz,20701,Apolo,2005,1,< de 2 anos-H,50
Potosí,51301,Arampampa,2005,1,< de 2 anos-H,23
Cochabamba,30501,Arani,2005,1,< de 2 anos-H,58
Cochabamba,30403,Arbieto,2005,1,< de 2 anos-H,33
Cochabamba,30601,Arque,2005,1,< de 2 anos-H,43
Potosí,50802,Atocha,2005,1,< de 2 anos-H,101
La Paz,20503,Aucapata,2005,1,< de 2 anos-H,17
La Paz,20502,Ayata,2005,1,< de 2 anos-H,53
La Paz,21303,Ayo Ayo,2005,1,< de 2 anos-H,39
Cochabamba,30301,Ayopaya (v. De Independencia),2005,1,< de 2 anos-H,79
Chuquisaca,10201,Azurduy,2005,1,< de 2 anos-H,220
La Paz,21203,Batallas,2005,1,< de 2 anos-H,88
Beni,80802,Baures,2005,1,< de 2 anos-H,64
Oruro,41202,Belen De Andamarca,2005,1,< de 2 anos-H,9
Potosí,50104,Belen De Urmiri,2005,1,< de 2 anos-H,15
Pando,90104,Bella Flor,2005,1,< de 2 anos-H,22
Tarija,60202,Bermejo,2005,1,< de 2 anos-H,50
Potosí,50301,Betanzos,2005,1,< de 2 anos-H,157
Cochabamba,31501,Bolivar,2005,1,< de 2 anos-H,44
Pando,90103,Bolpebra,2005,1,< de 2 anos-H,16
Santa Cruz,70707,Boyuibe,2005,1,< de 2 anos-H,9
Santa Cruz,70401,Buena Vista,2005,1,< de 2 anos-H,130
Santa Cruz,70703,Cabezas,2005,1,< de 2 anos-H,110
La Paz,20905,Cairoma,2005,1,< de 2 anos-H,45
Potosí,51102,"Caiza ""d""",2005,1,< de 2 anos-H,73
La Paz,21003,Cajuata,2005,1,< de 2 anos-H,55
La Paz,20303,Calacoto,2005,1,< de 2 anos-H,9
La Paz,21304,Calamarca,2005,1,< de 2 anos-H,53
Chuquisaca,10701,Camargo,2005,1,< de 2 anos-H,124
Chuquisaca,10901,Camataqui (c. Villa Abecia),2005,1,< de 2 anos-H,45
Santa Cruz,70706,Camiri,2005,1,< de 2 anos-H,219
Cochabamba,30701,Capinota,2005,1,< de 2 anos-H,77
La Paz,20302,Caquiaviri,2005,1,< de 2 anos-H,44
Oruro,40102,Caracollo,2005,1,< de 2 anos-H,62
La Paz,22001,Caranavi,2005,1,< de 2 anos-H,203
Oruro,41503,Carangas,2005,1,< de 2 anos-H,1
Tarija,60302,Carapari,2005,1,< de 2 anos-H,95
La Paz,21902,Catacora,2005,1,< de 2 anos-H,13
La Paz,21803,Chacarilla,2005,1,< de 2 anos-H,1
Oruro,40201,Challapata,2005,1,< de 2 anos-H,70
Potosí,50302,Chaqui,2005,1,< de 2 anos-H,20
Santa Cruz,70702,Charagua,2005,1,< de 2 anos-H,151
La Paz,20305,Charaña,2005,1,< de 2 anos-H,8
Potosí,50202,Chayanta,2005,1,< de 2 anos-H,126
Cochabamba,31204,Chimore,2005,1,< de 2 anos-H,69
Oruro,40903,Chipaya,2005,1,< de 2 anos-H,11
Oruro,40302,Choque Cota,2005,1,< de 2 anos-H,5
La Paz,21101,Chulumani (v. De La Libertad),2005,1,< de 2 anos-H,63
La Paz,20501,Chuma,2005,1,< de 2 anos-H,35
Cochabamba,30801,Cliza,2005,1,< de 2 anos-H,51
Pando,90101,Cobija,2005,1,< de 2 anos-H,272
Cochabamba,30101,Cochabamba,2005,1,< de 2 anos-H,1315
Oruro,40902,Coipasa,2005,1,< de 2 anos-H,15
Cochabamba,30905,Colcapirhua,2005,1,< de 2 anos-H,120
Potosí,50901,"Colcha ""k""",2005,1,< de 2 anos-H,45
La Paz,21307,Collana,2005,1,< de 2 anos-H,7
Cochabamba,31002,Colomi,2005,1,< de 2 anos-H,160
Santa Cruz,70603,Colpa Belgica,2005,1,< de 2 anos-H,52
Potosí,50401,Colquechaca,2005,1,< de 2 anos-H,105
La Paz,21306,Colquencha,2005,1,< de 2 anos-H,36
La Paz,21004,Colquiri,2005,1,< de 2 anos-H,105
La Paz,20304,Comanche,2005,1,< de 2 anos-H,15
Santa Cruz,71301,Comarapa,2005,1,< de 2 anos-H,91
La Paz,20605,Combaya,2005,1,< de 2 anos-H,2
Santa Cruz,71101,Concepcion,2005,1,< de 2 anos-H,171
La Paz,21701,Copacabana,2005,1,< de 2 anos-H,97
La Paz,21402,Coripata,2005,1,< de 2 anos-H,30
La Paz,20301,Coro Coro,2005,1,< de 2 anos-H,45
La Paz,21401,Coroico,2005,1,< de 2 anos-H,74
Oruro,40301,Corque,2005,1,< de 2 anos-H,31
Potosí,50601,Cotagaita,2005,1,< de 2 anos-H,186
Santa Cruz,70102,Cotoca,2005,1,< de 2 anos-H,227
Santa Cruz,71106,Cuatro Cañadas,2005,1,< de 2 anos-H,30
Cochabamba,31405,Cuchumuela (v. G. Villarroel),2005,1,< de 2 anos-H,24
Santa Cruz,70704,Cuevo,2005,1,< de 2 anos-H,36
Chuquisaca,10902,Culpina,2005,1,< de 2 anos-H,212
Oruro,40401,Curahuara De Carangas,2005,1,< de 2 anos-H,16
La Paz,21602,Curva,2005,1,< de 2 anos-H,7
La Paz,20804,Desaguadero,2005,1,< de 2 anos-H,12
La Paz,20105,El Alto,2005,1,< de 2 anos-H,2907
Oruro,40103,El Choro,2005,1,< de 2 anos-H,9
Tarija,60502,El Puente(tja),2005,1,< de 2 anos-H,53
Santa Cruz,70105,El Torno,2005,1,< de 2 anos-H,170
Chuquisaca,10405,El Villar,2005,1,< de 2 anos-H,61
Tarija,60601,Entre Rios,2005,1,< de 2 anos-H,148
Tarija,60601,Entre Rios,2005,1,< de 2 anos-H,181
Oruro,40502,Escara,2005,1,< de 2 anos-H,1
Oruro,41101,Eucaliptus,2005,1,< de 2 anos-H,33
Pando,90503,Eureka (santos Mercado),2005,1,< de 2 anos-H,1
Beni,80402,Exaltacion,2005,1,< de 2 anos-H,16
Santa Cruz,71004,Fernandez Alonso,2005,1,< de 2 anos-H,100
Pando,90203,Filadelfia,2005,1,< de 2 anos-H,28
Santa Cruz,71002,General Saavedra,2005,1,< de 2 anos-H,277
