department,municipality_id,municipality,year,month,population,value
La Paz,20201,Achacachi,2008,1,Cantidad,3
La Paz,20104,Achocalla,2008,1,Cantidad,8
Cochabamba,30201,Aiquile,2008,1,Cantidad,14
La Paz,20202,Ancoraimes,2008,1,Cantidad,1
Oruro,41201,Andamarca,2008,1,Cantidad,1
Oruro,40603,Antequera,2008,1,Cantidad,3
La Paz,20701,Apolo,2008,1,Cantidad,6
Cochabamba,30501,Arani,2008,1,Cantidad,13
Cochabamba,30403,Arbieto,2008,1,Cantidad,1
Santa Cruz,71501,Ascencion De Guarayos,2008,1,Cantidad,39
Potosí,50802,Atocha,2008,1,Cantidad,15
La Paz,21303,Ayo Ayo,2008,1,Cantidad,2
Cochabamba,30301,Ayopaya (v. De Independencia),2008,1,Cantidad,15
Chuquisaca,10201,Azurduy,2008,1,Cantidad,1
La Paz,21203,Batallas,2008,1,Cantidad,13
Tarija,60202,Bermejo,2008,1,Cantidad,22
Potosí,50301,Betanzos,2008,1,Cantidad,5
Pando,90103,Bolpebra,2008,1,Cantidad,1
Santa Cruz,70401,Buena Vista,2008,1,Cantidad,11
Santa Cruz,70703,Cabezas,2008,1,Cantidad,9
La Paz,20905,Cairoma,2008,1,Cantidad,5
Potosí,51102,"Caiza ""d""",2008,1,Cantidad,1
La Paz,21003,Cajuata,2008,1,Cantidad,9
La Paz,20303,Calacoto,2008,1,Cantidad,1
La Paz,21304,Calamarca,2008,1,Cantidad,5
Santa Cruz,70706,Camiri,2008,1,Cantidad,60
Cochabamba,30701,Capinota,2008,1,Cantidad,2
Oruro,40102,Caracollo,2008,1,Cantidad,8
La Paz,22001,Caranavi,2008,1,Cantidad,29
Santa Cruz,71403,Carmen Rivero Torrez,2008,1,Cantidad,5
Oruro,40201,Challapata,2008,1,Cantidad,62
Santa Cruz,70702,Charagua,2008,1,Cantidad,21
Cochabamba,31204,Chimore,2008,1,Cantidad,1
La Paz,21101,Chulumani (v. De La Libertad),2008,1,Cantidad,13
La Paz,20501,Chuma,2008,1,Cantidad,7
Cochabamba,30801,Cliza,2008,1,Cantidad,11
Pando,90101,Cobija,2008,1,Cantidad,59
Cochabamba,30101,Cochabamba,2008,1,Cantidad,616
Cochabamba,30905,Colcapirhua,2008,1,Cantidad,16
Cochabamba,31002,Colomi,2008,1,Cantidad,39
Santa Cruz,70603,Colpa Belgica,2008,1,Cantidad,1
Potosí,50401,Colquechaca,2008,1,Cantidad,1
La Paz,21306,Colquencha,2008,1,Cantidad,2
La Paz,21004,Colquiri,2008,1,Cantidad,9
La Paz,20304,Comanche,2008,1,Cantidad,2
Santa Cruz,71301,Comarapa,2008,1,Cantidad,13
Santa Cruz,71101,Concepcion,2008,1,Cantidad,5
La Paz,21701,Copacabana,2008,1,Cantidad,6
La Paz,21402,Coripata,2008,1,Cantidad,7
La Paz,21401,Coroico,2008,1,Cantidad,5
Potosí,50601,Cotagaita,2008,1,Cantidad,2
Santa Cruz,70102,Cotoca,2008,1,Cantidad,53
Chuquisaca,10902,Culpina,2008,1,Cantidad,4
Oruro,40401,Curahuara De Carangas,2008,1,Cantidad,2
La Paz,20105,El Alto,2008,1,Cantidad,429
Oruro,40103,El Choro,2008,1,Cantidad,2
Santa Cruz,70105,El Torno,2008,1,Cantidad,51
Tarija,60601,Entre Rios,2008,1,Cantidad,4
Tarija,60601,Entre Rios,2008,1,Cantidad,3
Oruro,41101,Eucaliptus,2008,1,Cantidad,1
Santa Cruz,71004,Fernandez Alonso,2008,1,Cantidad,15
Santa Cruz,71002,General Saavedra,2008,1,Cantidad,3
La Paz,21601,Gral. J.j. Perez (charazani),2008,1,Cantidad,1
La Paz,20602,Guanay,2008,1,Cantidad,15
Beni,80202,Guayaramerin,2008,1,Cantidad,65
Chuquisaca,10502,Huacareta,2008,1,Cantidad,7
Oruro,40701,Huanuni,2008,1,Cantidad,19
Chuquisaca,10703,Incahuasi,2008,1,Cantidad,6
La Paz,21001,Inquisivi,2008,1,Cantidad,3
La Paz,21102,Irupana (villa De Lanza),2008,1,Cantidad,1
La Paz,21501,Ixiamas,2008,1,Cantidad,1
La Paz,21105,La Asunta,2008,1,Cantidad,33
Santa Cruz,70104,La Guardia,2008,1,Cantidad,54
La Paz,20101,La Paz,2008,1,Cantidad,331
Potosí,50203,Llallagua,2008,1,Cantidad,94
La Paz,20901,Luribay,2008,1,Cantidad,3
Oruro,40702,Machacamarca,2008,1,Cantidad,12
Beni,80801,Magdalena,2008,1,Cantidad,13
Santa Cruz,70903,Mairana,2008,1,Cantidad,5
La Paz,20103,Mecapaca,2008,1,Cantidad,1
Santa Cruz,71003,Mineros,2008,1,Cantidad,24
Cochabamba,31301,Mizque,2008,1,Cantidad,16
Chuquisaca,10501,Monteagudo,2008,1,Cantidad,6
Santa Cruz,71001,Montero,2008,1,Cantidad,47
Cochabamba,30302,Morochata,2008,1,Cantidad,3
Pando,90401,Nacebe (santa Rosa Del Abuna),2008,1,Cantidad,3
Potosí,50404,Ocuri,2008,1,Cantidad,6
Santa Cruz,70202,Okinawa,2008,1,Cantidad,12
Cochabamba,30203,Omereque,2008,1,Cantidad,6
Oruro,40101,Oruro,2008,1,Cantidad,218
Santa Cruz,70502,Pailon,2008,1,Cantidad,30
La Paz,20102,Palca,2008,1,Cantidad,2
La Paz,21104,Palos Blancos,2008,1,Cantidad,26
Oruro,40802,Pampa Aullagas,2008,1,Cantidad,3
Santa Cruz,70902,Pampa Grande,2008,1,Cantidad,6
La Paz,21305,Patacamaya,2008,1,Cantidad,13
La Paz,20702,Pelechuco,2008,1,Cantidad,1
Potosí,50403,Pocoata,2008,1,Cantidad,4
Cochabamba,31203,Pocona,2008,1,Cantidad,1
Cochabamba,31202,Pojo (cbba),2008,1,Cantidad,3
Santa Cruz,70103,Porongo,2008,1,Cantidad,6
Santa Cruz,70601,Portachuelo,2008,1,Cantidad,34
Pando,90102,Porvenir,2008,1,Cantidad,15
Potosí,50101,Potosi,2008,1,Cantidad,265
La Paz,21201,Pucarani,2008,1,Cantidad,15
La Paz,20401,Puerto Acosta,2008,1,Cantidad,19
La Paz,20403,Puerto Carabuco,2008,1,Cantidad,4
Pando,90301,Puerto Gonzalo Moreno,2008,1,Cantidad,2
La Paz,21204,Puerto Perez,2008,1,Cantidad,1
Santa Cruz,71402,Puerto Quijarro,2008,1,Cantidad,6
Pando,90201,Puerto Rico,2008,1,Cantidad,3
Santa Cruz,71401,Puerto Suarez,2008,1,Cantidad,10
Cochabamba,31205,Puerto Villarroel,2008,1,Cantidad,110
Cochabamba,31401,Punata,2008,1,Cantidad,17
Cochabamba,30901,Quillacollo,2008,1,Cantidad,272
La Paz,21002,Quime,2008,1,Cantidad,4
Beni,80301,Reyes,2008,1,Cantidad,37
Beni,80201,Riberalta,2008,1,Cantidad,120
Santa Cruz,70503,Robore,2008,1,Cantidad,3
Beni,80304,Rurrenabaque,2008,1,Cantidad,3
Oruro,40901,Sabaya,2008,1,Cantidad,2
Cochabamba,31001,Sacaba,2008,1,Cantidad,127
Cochabamba,30404,Sacabamba,2008,1,Cantidad,10
Potosí,50701,Sacaca,2008,1,Cantidad,12
Santa Cruz,71302,Saipina,2008,1,Cantidad,10
Oruro,40801,Salinas De Garci Mendoza,2008,1,Cantidad,1
Santa Cruz,70901,Samaipata,2008,1,Cantidad,5
Beni,80602,San Andres,2008,1,Cantidad,6
Beni,80302,San Borja,2008,1,Cantidad,16
La Paz,21502,San Buena Ventura,2008,1,Cantidad,6
Santa Cruz,70402,San Carlos,2008,1,Cantidad,8
Beni,80501,San Ignacio,2008,1,Cantidad,9
Santa Cruz,70301,San Ignacio De Velasco,2008,1,Cantidad,26
Beni,80102,San Javier(bni),2008,1,Cantidad,4
Santa Cruz,71102,San Javier(stc),2008,1,Cantidad,77
Beni,80701,San Joaquin,2008,1,Cantidad,6
Santa Cruz,70501,San Jose De Chiquitos,2008,1,Cantidad,18
Santa Cruz,70404,San Juan De Yapacani,2008,1,Cantidad,3
Santa Cruz,71104,San Julian,2008,1,Cantidad,18
Chuquisaca,10702,San Lucas,2008,1,Cantidad,4
Santa Cruz,71201,San Matias,2008,1,Cantidad,8
Santa Cruz,70302,San Miguel De Velasco,2008,1,Cantidad,10
