department,municipality_id,municipality,year,month,population,value
La Paz,20201,Achacachi,2009,1,Cantidad,1
La Paz,20202,Ancoraimes,2009,1,Cantidad,1
Santa Cruz,71501,Ascencion De Guarayos,2009,1,Cantidad,3
Potosí,50301,Betanzos,2009,1,Cantidad,3
Santa Cruz,70703,Cabezas,2009,1,Cantidad,3
Santa Cruz,70706,Camiri,2009,1,Cantidad,3
La Paz,22001,Caranavi,2009,1,Cantidad,1
Santa Cruz,71403,Carmen Rivero Torrez,2009,1,Cantidad,1
Oruro,40201,Challapata,2009,1,Cantidad,5
Santa Cruz,70702,Charagua,2009,1,Cantidad,3
Cochabamba,30101,Cochabamba,2009,1,Cantidad,17
Cochabamba,30905,Colcapirhua,2009,1,Cantidad,1
Santa Cruz,71101,Concepcion,2009,1,Cantidad,1
La Paz,21401,Coroico,2009,1,Cantidad,1
Oruro,40301,Corque,2009,1,Cantidad,1
Santa Cruz,70102,Cotoca,2009,1,Cantidad,8
La Paz,20105,El Alto,2009,1,Cantidad,16
Beni,80202,Guayaramerin,2009,1,Cantidad,1
La Paz,21105,La Asunta,2009,1,Cantidad,4
Santa Cruz,70104,La Guardia,2009,1,Cantidad,2
La Paz,20101,La Paz,2009,1,Cantidad,49
Potosí,50203,Llallagua,2009,1,Cantidad,1
Cochabamba,31301,Mizque,2009,1,Cantidad,13
Oruro,40101,Oruro,2009,1,Cantidad,11
La Paz,21305,Patacamaya,2009,1,Cantidad,1
Potosí,50101,Potosi,2009,1,Cantidad,11
La Paz,21201,Pucarani,2009,1,Cantidad,1
Cochabamba,31205,Puerto Villarroel,2009,1,Cantidad,3
Cochabamba,30901,Quillacollo,2009,1,Cantidad,1
Beni,80201,Riberalta,2009,1,Cantidad,6
Cochabamba,31001,Sacaba,2009,1,Cantidad,2
Santa Cruz,70402,San Carlos,2009,1,Cantidad,1
Santa Cruz,70301,San Ignacio De Velasco,2009,1,Cantidad,5
Santa Cruz,70501,San Jose De Chiquitos,2009,1,Cantidad,2
Santa Cruz,71104,San Julian,2009,1,Cantidad,2
Beni,80401,Santa Ana,2009,1,Cantidad,1
Santa Cruz,70101,Santa Cruz De La Sierra,2009,1,Cantidad,58
Chuquisaca,10101,Sucre,2009,1,Cantidad,5
Tarija,60101,Tarija,2009,1,Cantidad,7
La Paz,20606,Tipuani,2009,1,Cantidad,1
Beni,80101,Trinidad,2009,1,Cantidad,5
Potosí,50201,Uncia,2009,1,Cantidad,2
Santa Cruz,71502,Urubicha,2009,1,Cantidad,1
Cochabamba,31003,Villa Tunari,2009,1,Cantidad,1
Cochabamba,30201,Aiquile,2009,2,Cantidad,1
Oruro,40603,Antequera,2009,2,Cantidad,1
Cochabamba,30501,Arani,2009,2,Cantidad,1
Santa Cruz,71501,Ascencion De Guarayos,2009,2,Cantidad,2
Santa Cruz,70706,Camiri,2009,2,Cantidad,8
La Paz,22001,Caranavi,2009,2,Cantidad,1
Santa Cruz,70702,Charagua,2009,2,Cantidad,1
Cochabamba,30801,Cliza,2009,2,Cantidad,1
Pando,90101,Cobija,2009,2,Cantidad,2
Cochabamba,30101,Cochabamba,2009,2,Cantidad,21
Santa Cruz,71301,Comarapa,2009,2,Cantidad,2
Santa Cruz,71101,Concepcion,2009,2,Cantidad,3
Santa Cruz,70102,Cotoca,2009,2,Cantidad,1
La Paz,20105,El Alto,2009,2,Cantidad,29
Santa Cruz,71004,Fernandez Alonso,2009,2,Cantidad,2
Beni,80202,Guayaramerin,2009,2,Cantidad,1
La Paz,20101,La Paz,2009,2,Cantidad,29
Potosí,50203,Llallagua,2009,2,Cantidad,3
La Paz,20607,Mapiri,2009,2,Cantidad,1
Cochabamba,31301,Mizque,2009,2,Cantidad,10
Pando,90401,Nacebe (santa Rosa Del Abuna),2009,2,Cantidad,1
Oruro,40101,Oruro,2009,2,Cantidad,15
La Paz,21305,Patacamaya,2009,2,Cantidad,1
Oruro,40602,Pazña,2009,2,Cantidad,1
Potosí,50101,Potosi,2009,2,Cantidad,8
Santa Cruz,71401,Puerto Suarez,2009,2,Cantidad,1
Cochabamba,31205,Puerto Villarroel,2009,2,Cantidad,17
Cochabamba,30901,Quillacollo,2009,2,Cantidad,1
Santa Cruz,70503,Robore,2009,2,Cantidad,1
Beni,80304,Rurrenabaque,2009,2,Cantidad,2
Cochabamba,31001,Sacaba,2009,2,Cantidad,3
Santa Cruz,70901,Samaipata,2009,2,Cantidad,1
Beni,80602,San Andres,2009,2,Cantidad,1
Santa Cruz,70402,San Carlos,2009,2,Cantidad,1
Santa Cruz,70301,San Ignacio De Velasco,2009,2,Cantidad,1
Santa Cruz,70302,San Miguel De Velasco,2009,2,Cantidad,1
Santa Cruz,70303,San Rafael,2009,2,Cantidad,1
Santa Cruz,70101,Santa Cruz De La Sierra,2009,2,Cantidad,57
Chuquisaca,10101,Sucre,2009,2,Cantidad,4
Tarija,60101,Tarija,2009,2,Cantidad,2
Beni,80101,Trinidad,2009,2,Cantidad,3
Cochabamba,30502,Vacas,2009,2,Cantidad,1
Potosí,51501,Villazon,2009,2,Cantidad,2
Santa Cruz,70201,Warnes,2009,2,Cantidad,1
Santa Cruz,71501,Ascencion De Guarayos,2009,3,Cantidad,3
Potosí,50301,Betanzos,2009,3,Cantidad,1
Santa Cruz,70703,Cabezas,2009,3,Cantidad,1
Santa Cruz,70706,Camiri,2009,3,Cantidad,2
La Paz,22001,Caranavi,2009,3,Cantidad,1
Santa Cruz,71403,Carmen Rivero Torrez,2009,3,Cantidad,1
Oruro,40201,Challapata,2009,3,Cantidad,1
Santa Cruz,70702,Charagua,2009,3,Cantidad,1
Pando,90101,Cobija,2009,3,Cantidad,1
Cochabamba,30101,Cochabamba,2009,3,Cantidad,14
Santa Cruz,71101,Concepcion,2009,3,Cantidad,4
La Paz,21701,Copacabana,2009,3,Cantidad,1
La Paz,21401,Coroico,2009,3,Cantidad,1
Santa Cruz,70102,Cotoca,2009,3,Cantidad,3
La Paz,20105,El Alto,2009,3,Cantidad,21
Santa Cruz,71503,El Puente(stc),2009,3,Cantidad,1
Tarija,60601,Entre Rios,2009,3,Cantidad,1
Santa Cruz,71004,Fernandez Alonso,2009,3,Cantidad,1
Beni,80202,Guayaramerin,2009,3,Cantidad,2
Santa Cruz,70104,La Guardia,2009,3,Cantidad,1
La Paz,20101,La Paz,2009,3,Cantidad,31
La Paz,20607,Mapiri,2009,3,Cantidad,2
Santa Cruz,71003,Mineros,2009,3,Cantidad,2
Cochabamba,31301,Mizque,2009,3,Cantidad,3
Oruro,40101,Oruro,2009,3,Cantidad,9
Potosí,50101,Potosi,2009,3,Cantidad,16
Pando,90201,Puerto Rico,2009,3,Cantidad,2
Cochabamba,31205,Puerto Villarroel,2009,3,Cantidad,13
Beni,80201,Riberalta,2009,3,Cantidad,9
Cochabamba,31001,Sacaba,2009,3,Cantidad,3
Santa Cruz,70402,San Carlos,2009,3,Cantidad,1
Santa Cruz,70301,San Ignacio De Velasco,2009,3,Cantidad,1
Santa Cruz,71102,San Javier(stc),2009,3,Cantidad,3
Santa Cruz,70501,San Jose De Chiquitos,2009,3,Cantidad,1
Beni,80401,Santa Ana,2009,3,Cantidad,4
Santa Cruz,70101,Santa Cruz De La Sierra,2009,3,Cantidad,59
Chuquisaca,10101,Sucre,2009,3,Cantidad,8
Tarija,60101,Tarija,2009,3,Cantidad,7
La Paz,20606,Tipuani,2009,3,Cantidad,4
Beni,80101,Trinidad,2009,3,Cantidad,20
Potosí,50201,Uncia,2009,3,Cantidad,2
Cochabamba,31003,Villa Tunari,2009,3,Cantidad,3
Potosí,51501,Villazon,2009,3,Cantidad,4
Santa Cruz,70201,Warnes,2009,3,Cantidad,2
Tarija,60301,Yacuiba,2009,3,Cantidad,2
Santa Cruz,71501,Ascencion De Guarayos,2009,4,Cantidad,5
Santa Cruz,70703,Cabezas,2009,4,Cantidad,1
Santa Cruz,70706,Camiri,2009,4,Cantidad,2
La Paz,22001,Caranavi,2009,4,Cantidad,1
Oruro,40201,Challapata,2009,4,Cantidad,1
Santa Cruz,70702,Charagua,2009,4,Cantidad,3
Cochabamba,30801,Cliza,2009,4,Cantidad,2
Cochabamba,30101,Cochabamba,2009,4,Cantidad,23
Santa Cruz,71101,Concepcion,2009,4,Cantidad,1
La Paz,21401,Coroico,2009,4,Cantidad,2
Santa Cruz,70102,Cotoca,2009,4,Cantidad,6
La Paz,20105,El Alto,2009,4,Cantidad,21
