department,municipality_id,municipality,year,month,population,value
La Paz,20201,Achacachi,2010,1,Cantidad,4
La Paz,20104,Achocalla,2010,1,Cantidad,1
Santa Cruz,71501,Ascencion De Guarayos,2010,1,Cantidad,55
Cochabamba,30301,Ayopaya (v. De Independencia),2010,1,Cantidad,1
Chuquisaca,10201,Azurduy,2010,1,Cantidad,1
La Paz,21003,Cajuata,2010,1,Cantidad,1
Santa Cruz,70706,Camiri,2010,1,Cantidad,5
Cochabamba,30701,Capinota,2010,1,Cantidad,5
La Paz,20302,Caquiaviri,2010,1,Cantidad,1
Santa Cruz,71403,Carmen Rivero Torrez,2010,1,Cantidad,4
Oruro,40201,Challapata,2010,1,Cantidad,7
Santa Cruz,70702,Charagua,2010,1,Cantidad,20
Cochabamba,31204,Chimore,2010,1,Cantidad,3
La Paz,21101,Chulumani (v. De La Libertad),2010,1,Cantidad,1
Cochabamba,30801,Cliza,2010,1,Cantidad,5
Cochabamba,30101,Cochabamba,2010,1,Cantidad,4
Santa Cruz,70603,Colpa Belgica,2010,1,Cantidad,1
La Paz,20304,Comanche,2010,1,Cantidad,1
Santa Cruz,71301,Comarapa,2010,1,Cantidad,1
La Paz,21701,Copacabana,2010,1,Cantidad,3
La Paz,20301,Coro Coro,2010,1,Cantidad,1
Oruro,40301,Corque,2010,1,Cantidad,1
Santa Cruz,70102,Cotoca,2010,1,Cantidad,5
Santa Cruz,71106,Cuatro Cañadas,2010,1,Cantidad,5
Chuquisaca,10902,Culpina,2010,1,Cantidad,1
La Paz,20105,El Alto,2010,1,Cantidad,74
Oruro,40103,El Choro,2010,1,Cantidad,2
Santa Cruz,70105,El Torno,2010,1,Cantidad,1
La Paz,21005,Ichoca,2010,1,Cantidad,1
Santa Cruz,70104,La Guardia,2010,1,Cantidad,5
La Paz,20101,La Paz,2010,1,Cantidad,83
Chuquisaca,11003,Machareti,2010,1,Cantidad,1
Santa Cruz,71003,Mineros,2010,1,Cantidad,1
Chuquisaca,10501,Monteagudo,2010,1,Cantidad,2
Oruro,40101,Oruro,2010,1,Cantidad,6
Potosí,50101,Potosi,2010,1,Cantidad,30
La Paz,21201,Pucarani,2010,1,Cantidad,1
Santa Cruz,71402,Puerto Quijarro,2010,1,Cantidad,9
Santa Cruz,71401,Puerto Suarez,2010,1,Cantidad,8
Cochabamba,30901,Quillacollo,2010,1,Cantidad,15
Beni,80201,Riberalta,2010,1,Cantidad,17
Cochabamba,31001,Sacaba,2010,1,Cantidad,4
Santa Cruz,70402,San Carlos,2010,1,Cantidad,3
Beni,80501,San Ignacio,2010,1,Cantidad,3
Santa Cruz,70301,San Ignacio De Velasco,2010,1,Cantidad,8
Santa Cruz,71102,San Javier(stc),2010,1,Cantidad,58
Santa Cruz,70404,San Juan De Yapacani,2010,1,Cantidad,1
Santa Cruz,71104,San Julian,2010,1,Cantidad,14
Tarija,60501,San Lorenzo(tja),2010,1,Cantidad,1
Beni,80401,Santa Ana,2010,1,Cantidad,18
Santa Cruz,70101,Santa Cruz De La Sierra,2010,1,Cantidad,217
