department,municipality_id,municipality,year,month,population,value
Cochabamba,30201,Aiquile,2015,3,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10101,Sucre,2015,3,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,a. Menor de 6 meses / MASCULINO,0
Beni,80402,Exaltacion,2015,8,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70502,Pailon,2015,8,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10101,Sucre,2015,8,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,a. Menor de 6 meses / MASCULINO,0
Beni,80101,Trinidad,2015,10,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71002,General Saavedra,2015,12,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70503,Robore,2015,12,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30201,Aiquile,2015,3,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2015,3,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,a. Menor de 6 meses / FEMENINO,0
Beni,80402,Exaltacion,2015,8,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70502,Pailon,2015,8,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2015,8,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,a. Menor de 6 meses / FEMENINO,0
Beni,80101,Trinidad,2015,10,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71002,General Saavedra,2015,12,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70503,Robore,2015,12,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30201,Aiquile,2015,3,b. 6 meses a menor de 1 ano / MASCULINO,0
Chuquisaca,10101,Sucre,2015,3,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80402,Exaltacion,2015,8,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70502,Pailon,2015,8,b. 6 meses a menor de 1 ano / MASCULINO,0
Chuquisaca,10101,Sucre,2015,8,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80101,Trinidad,2015,10,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,71002,General Saavedra,2015,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70503,Robore,2015,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Cochabamba,30201,Aiquile,2015,3,b. 6 meses a menor de 1 ano / FEMENINO,0
Chuquisaca,10101,Sucre,2015,3,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80402,Exaltacion,2015,8,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70502,Pailon,2015,8,b. 6 meses a menor de 1 ano / FEMENINO,0
Chuquisaca,10101,Sucre,2015,8,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80101,Trinidad,2015,10,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,71002,General Saavedra,2015,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70503,Robore,2015,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Cochabamba,30201,Aiquile,2015,3,c. 1 - 4 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,3,c. 1 - 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,c. 1 - 4 anos / MASCULINO,0
Beni,80402,Exaltacion,2015,8,c. 1 - 4 anos / MASCULINO,0
Santa Cruz,70502,Pailon,2015,8,c. 1 - 4 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,8,c. 1 - 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,c. 1 - 4 anos / MASCULINO,0
Beni,80101,Trinidad,2015,10,c. 1 - 4 anos / MASCULINO,0
Santa Cruz,71002,General Saavedra,2015,12,c. 1 - 4 anos / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,c. 1 - 4 anos / MASCULINO,1
Santa Cruz,70503,Robore,2015,12,c. 1 - 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,c. 1 - 4 anos / MASCULINO,0
Cochabamba,30201,Aiquile,2015,3,c. 1 - 4 anos / FEMENINO,0
Chuquisaca,10101,Sucre,2015,3,c. 1 - 4 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,c. 1 - 4 anos / FEMENINO,0
Beni,80402,Exaltacion,2015,8,c. 1 - 4 anos / FEMENINO,0
Santa Cruz,70502,Pailon,2015,8,c. 1 - 4 anos / FEMENINO,0
Chuquisaca,10101,Sucre,2015,8,c. 1 - 4 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,c. 1 - 4 anos / FEMENINO,0
Beni,80101,Trinidad,2015,10,c. 1 - 4 anos / FEMENINO,0
Santa Cruz,71002,General Saavedra,2015,12,c. 1 - 4 anos / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,c. 1 - 4 anos / FEMENINO,0
Santa Cruz,70503,Robore,2015,12,c. 1 - 4 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,c. 1 - 4 anos / FEMENINO,0
Cochabamba,30201,Aiquile,2015,3,d. 5 - 9 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,3,d. 5 - 9 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,d. 5 - 9 anos / MASCULINO,0
Beni,80402,Exaltacion,2015,8,d. 5 - 9 anos / MASCULINO,1
Santa Cruz,70502,Pailon,2015,8,d. 5 - 9 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,8,d. 5 - 9 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,d. 5 - 9 anos / MASCULINO,0
Beni,80101,Trinidad,2015,10,d. 5 - 9 anos / MASCULINO,0
Santa Cruz,71002,General Saavedra,2015,12,d. 5 - 9 anos / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,d. 5 - 9 anos / MASCULINO,0
Santa Cruz,70503,Robore,2015,12,d. 5 - 9 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,d. 5 - 9 anos / MASCULINO,0
Cochabamba,30201,Aiquile,2015,3,d. 5 - 9 anos / FEMENINO,0
Chuquisaca,10101,Sucre,2015,3,d. 5 - 9 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,d. 5 - 9 anos / FEMENINO,1
Beni,80402,Exaltacion,2015,8,d. 5 - 9 anos / FEMENINO,0
Santa Cruz,70502,Pailon,2015,8,d. 5 - 9 anos / FEMENINO,0
Chuquisaca,10101,Sucre,2015,8,d. 5 - 9 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,d. 5 - 9 anos / FEMENINO,0
Beni,80101,Trinidad,2015,10,d. 5 - 9 anos / FEMENINO,0
Santa Cruz,71002,General Saavedra,2015,12,d. 5 - 9 anos / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,d. 5 - 9 anos / FEMENINO,0
Santa Cruz,70503,Robore,2015,12,d. 5 - 9 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,d. 5 - 9 anos / FEMENINO,0
Cochabamba,30201,Aiquile,2015,3,e. 10 - 14 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,3,e. 10 - 14 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,e. 10 - 14 anos / MASCULINO,0
Beni,80402,Exaltacion,2015,8,e. 10 - 14 anos / MASCULINO,0
Santa Cruz,70502,Pailon,2015,8,e. 10 - 14 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,8,e. 10 - 14 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,e. 10 - 14 anos / MASCULINO,0
Beni,80101,Trinidad,2015,10,e. 10 - 14 anos / MASCULINO,0
Santa Cruz,71002,General Saavedra,2015,12,e. 10 - 14 anos / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,e. 10 - 14 anos / MASCULINO,0
Santa Cruz,70503,Robore,2015,12,e. 10 - 14 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,e. 10 - 14 anos / MASCULINO,0
Cochabamba,30201,Aiquile,2015,3,e. 10 - 14 anos / FEMENINO,0
Chuquisaca,10101,Sucre,2015,3,e. 10 - 14 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,e. 10 - 14 anos / FEMENINO,0
Beni,80402,Exaltacion,2015,8,e. 10 - 14 anos / FEMENINO,0
Santa Cruz,70502,Pailon,2015,8,e. 10 - 14 anos / FEMENINO,1
Chuquisaca,10101,Sucre,2015,8,e. 10 - 14 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,e. 10 - 14 anos / FEMENINO,1
Beni,80101,Trinidad,2015,10,e. 10 - 14 anos / FEMENINO,0
Santa Cruz,71002,General Saavedra,2015,12,e. 10 - 14 anos / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,e. 10 - 14 anos / FEMENINO,0
Santa Cruz,70503,Robore,2015,12,e. 10 - 14 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,e. 10 - 14 anos / FEMENINO,0
Cochabamba,30201,Aiquile,2015,3,f. 15 - 19 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,3,f. 15 - 19 anos / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,f. 15 - 19 anos / MASCULINO,0
Beni,80402,Exaltacion,2015,8,f. 15 - 19 anos / MASCULINO,0
Santa Cruz,70502,Pailon,2015,8,f. 15 - 19 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,8,f. 15 - 19 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,f. 15 - 19 anos / MASCULINO,0
Beni,80101,Trinidad,2015,10,f. 15 - 19 anos / MASCULINO,0
Santa Cruz,71002,General Saavedra,2015,12,f. 15 - 19 anos / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,f. 15 - 19 anos / MASCULINO,0
Santa Cruz,70503,Robore,2015,12,f. 15 - 19 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,f. 15 - 19 anos / MASCULINO,0
Cochabamba,30201,Aiquile,2015,3,f. 15 - 19 anos / FEMENINO,0
Chuquisaca,10101,Sucre,2015,3,f. 15 - 19 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,f. 15 - 19 anos / FEMENINO,0
Beni,80402,Exaltacion,2015,8,f. 15 - 19 anos / FEMENINO,0
Santa Cruz,70502,Pailon,2015,8,f. 15 - 19 anos / FEMENINO,0
Chuquisaca,10101,Sucre,2015,8,f. 15 - 19 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,f. 15 - 19 anos / FEMENINO,0
Beni,80101,Trinidad,2015,10,f. 15 - 19 anos / FEMENINO,0
Santa Cruz,71002,General Saavedra,2015,12,f. 15 - 19 anos / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,f. 15 - 19 anos / FEMENINO,0
Santa Cruz,70503,Robore,2015,12,f. 15 - 19 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,f. 15 - 19 anos / FEMENINO,0
Cochabamba,30201,Aiquile,2015,3,g. 20 - 39 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,3,g. 20 - 39 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,g. 20 - 39 anos / MASCULINO,0
Beni,80402,Exaltacion,2015,8,g. 20 - 39 anos / MASCULINO,0
Santa Cruz,70502,Pailon,2015,8,g. 20 - 39 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,8,g. 20 - 39 anos / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,g. 20 - 39 anos / MASCULINO,0
Beni,80101,Trinidad,2015,10,g. 20 - 39 anos / MASCULINO,0
Santa Cruz,71002,General Saavedra,2015,12,g. 20 - 39 anos / MASCULINO,1
Cochabamba,31205,Puerto Villarroel,2015,12,g. 20 - 39 anos / MASCULINO,0
Santa Cruz,70503,Robore,2015,12,g. 20 - 39 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,g. 20 - 39 anos / MASCULINO,1
Cochabamba,30201,Aiquile,2015,3,g. 20 - 39 anos / FEMENINO,1
Chuquisaca,10101,Sucre,2015,3,g. 20 - 39 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,g. 20 - 39 anos / FEMENINO,0
Beni,80402,Exaltacion,2015,8,g. 20 - 39 anos / FEMENINO,0
Santa Cruz,70502,Pailon,2015,8,g. 20 - 39 anos / FEMENINO,0
Chuquisaca,10101,Sucre,2015,8,g. 20 - 39 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,g. 20 - 39 anos / FEMENINO,0
Beni,80101,Trinidad,2015,10,g. 20 - 39 anos / FEMENINO,0
Santa Cruz,71002,General Saavedra,2015,12,g. 20 - 39 anos / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,g. 20 - 39 anos / FEMENINO,0
Santa Cruz,70503,Robore,2015,12,g. 20 - 39 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,g. 20 - 39 anos / FEMENINO,0
Cochabamba,30201,Aiquile,2015,3,h. 40 - 49 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,3,h. 40 - 49 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,h. 40 - 49 anos / MASCULINO,0
Beni,80402,Exaltacion,2015,8,h. 40 - 49 anos / MASCULINO,0
Santa Cruz,70502,Pailon,2015,8,h. 40 - 49 anos / MASCULINO,0
Chuquisaca,10101,Sucre,2015,8,h. 40 - 49 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,9,h. 40 - 49 anos / MASCULINO,0
Beni,80101,Trinidad,2015,10,h. 40 - 49 anos / MASCULINO,0
Santa Cruz,71002,General Saavedra,2015,12,h. 40 - 49 anos / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2015,12,h. 40 - 49 anos / MASCULINO,0
Santa Cruz,70503,Robore,2015,12,h. 40 - 49 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,12,h. 40 - 49 anos / MASCULINO,0
Cochabamba,30201,Aiquile,2015,3,h. 40 - 49 anos / FEMENINO,0
Chuquisaca,10101,Sucre,2015,3,h. 40 - 49 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,6,h. 40 - 49 anos / FEMENINO,0
Beni,80402,Exaltacion,2015,8,h. 40 - 49 anos / FEMENINO,0
Santa Cruz,70502,Pailon,2015,8,h. 40 - 49 anos / FEMENINO,0
Chuquisaca,10101,Sucre,2015,8,h. 40 - 49 anos / FEMENINO,0
