department,municipality_id,municipality,year,month,population,value
Cochabamba,30201,Aiquile,2016,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10404,Alcala,2016,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10201,Azurduy,2016,1,a. Menor de 6 meses / MASCULINO,0
Beni,80802,Baures,2016,1,a. Menor de 6 meses / MASCULINO,0
Pando,90104,Bella Flor,2016,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70706,Camiri,2016,1,a. Menor de 6 meses / MASCULINO,0
Pando,90101,Cobija,2016,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30101,Cochabamba,2016,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10902,Culpina,2016,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70105,El Torno,2016,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10405,El Villar,2016,1,a. Menor de 6 meses / MASCULINO,0
Tarija,60601,Entre Rios Trj,2016,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31206,Entre Rios Cbba,2016,1,a. Menor de 6 meses / MASCULINO,0
Pando,90503,Eureka (santos Mercado),2016,1,a. Menor de 6 meses / MASCULINO,0
Beni,80202,Guayaramerin,2016,1,a. Menor de 6 meses / MASCULINO,5
Chuquisaca,10502,Huacareta,2016,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10304,Icla,2016,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10703,Incahuasi,2016,1,a. Menor de 6 meses / MASCULINO,0
Pando,90402,Ingavi (humaita),2016,1,a. Menor de 6 meses / MASCULINO,0
La Paz,21501,Ixiamas,2016,1,a. Menor de 6 meses / MASCULINO,0
La Paz,20101,La Paz,2016,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,11003,Machareti,2016,1,a. Menor de 6 meses / MASCULINO,0
La Paz,20607,Mapiri,2016,1,a. Menor de 6 meses / MASCULINO,0
