department,municipality_id,municipality,year,month,population,value
Cochabamba,30402,Anzaldo,2017,1,Dentro / MASCULINO,0
Cochabamba,30101,Cochabamba,2017,1,Dentro / MASCULINO,1
Potosí,50901,"Colcha ""k""",2017,1,Dentro / MASCULINO,0
La Paz,20105,El Alto,2017,1,Dentro / MASCULINO,3
La Paz,20101,La Paz,2017,1,Dentro / MASCULINO,1
La Paz,20904,Malla,2017,1,Dentro / MASCULINO,0
Chuquisaca,10101,Sucre,2017,1,Dentro / MASCULINO,0
Santa Cruz,70403,Yapacani,2017,1,Dentro / MASCULINO,0
Pando,90101,Cobija,2017,2,Dentro / MASCULINO,0
Cochabamba,30101,Cochabamba,2017,2,Dentro / MASCULINO,2
La Paz,20105,El Alto,2017,2,Dentro / MASCULINO,2
La Paz,20101,La Paz,2017,2,Dentro / MASCULINO,3
Oruro,40101,Oruro,2017,2,Dentro / MASCULINO,1
Chuquisaca,10101,Sucre,2017,2,Dentro / MASCULINO,2
Tarija,60101,Tarija,2017,2,Dentro / MASCULINO,1
La Paz,20801,Viacha,2017,2,Dentro / MASCULINO,0
Chuquisaca,10704,Villa Charcas,2017,2,Dentro / MASCULINO,0
La Paz,20201,Achacachi,2017,3,Dentro / MASCULINO,0
La Paz,20503,Aucapata,2017,3,Dentro / MASCULINO,0
Cochabamba,30101,Cochabamba,2017,3,Dentro / MASCULINO,7
Oruro,40301,Corque,2017,3,Dentro / MASCULINO,0
La Paz,20105,El Alto,2017,3,Dentro / MASCULINO,2
La Paz,20101,La Paz,2017,3,Dentro / MASCULINO,2
Cochabamba,30901,Quillacollo,2017,3,Dentro / MASCULINO,1
La Paz,21502,San Buena Ventura,2017,3,Dentro / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2017,3,Dentro / MASCULINO,8
Chuquisaca,10601,Tarabuco,2017,3,Dentro / MASCULINO,0
Tarija,60101,Tarija,2017,3,Dentro / MASCULINO,1
Cochabamba,31003,Villa Tunari,2017,3,Dentro / MASCULINO,0
Cochabamba,30701,Capinota,2017,4,Dentro / MASCULINO,0
Cochabamba,30101,Cochabamba,2017,4,Dentro / MASCULINO,1
Potosí,50601,Cotagaita,2017,4,Dentro / MASCULINO,0
La Paz,20105,El Alto,2017,4,Dentro / MASCULINO,2
La Paz,20101,La Paz,2017,4,Dentro / MASCULINO,1
Santa Cruz,71001,Montero,2017,4,Dentro / MASCULINO,0
Cochabamba,30302,Morochata,2017,4,Dentro / MASCULINO,0
Beni,80201,Riberalta,2017,4,Dentro / MASCULINO,2
La Paz,21801,San Pedro De Curahuara,2017,4,Dentro / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,4,Dentro / MASCULINO,5
Chuquisaca,10101,Sucre,2017,4,Dentro / MASCULINO,2
La Paz,20606,Tipuani,2017,4,Dentro / MASCULINO,0
Potosí,50201,Uncia,2017,4,Dentro / MASCULINO,0
Tarija,60301,Yacuiba,2017,4,Dentro / MASCULINO,0
Cochabamba,30403,Arbieto,2017,5,Dentro / MASCULINO,0
La Paz,21003,Cajuata,2017,5,Dentro / MASCULINO,0
La Paz,21304,Calamarca,2017,5,Dentro / MASCULINO,0
Oruro,40102,Caracollo,2017,5,Dentro / MASCULINO,1
Potosí,51103,Ckochas,2017,5,Dentro / MASCULINO,0
Cochabamba,30101,Cochabamba,2017,5,Dentro / MASCULINO,2
