department,municipality_id,municipality,year,month,population,value
Cochabamba,30201,Aiquile,2017,1,a. Menor de 6 meses / MASCULINO,0
Potosí,50802,Atocha,2017,1,a. Menor de 6 meses / MASCULINO,0
Potosí,51102,"Caiza ""d""",2017,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10701,Camargo,2017,1,a. Menor de 6 meses / MASCULINO,0
La Paz,22001,Caranavi,2017,1,a. Menor de 6 meses / MASCULINO,0
Potosí,50702,Caripuyo,2017,1,a. Menor de 6 meses / MASCULINO,0
Oruro,40201,Challapata,2017,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70702,Charagua,2017,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31204,Chimore,2017,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30801,Cliza,2017,1,a. Menor de 6 meses / MASCULINO,0
Pando,90101,Cobija,2017,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30101,Cochabamba,2017,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71101,Concepcion,2017,1,a. Menor de 6 meses / MASCULINO,0
Oruro,40401,Curahuara De Carangas,2017,1,a. Menor de 6 meses / MASCULINO,0
La Paz,20105,El Alto,2017,1,a. Menor de 6 meses / MASCULINO,0
Tarija,60601,Entre Rios Trj,2017,1,a. Menor de 6 meses / MASCULINO,0
Pando,90203,Filadelfia,2017,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10502,Huacareta,2017,1,a. Menor de 6 meses / MASCULINO,0
Oruro,40701,Huanuni,2017,1,a. Menor de 6 meses / MASCULINO,0
La Paz,20806,Jesus De Machaca,2017,1,a. Menor de 6 meses / MASCULINO,0
La Paz,21105,La Asunta,2017,1,a. Menor de 6 meses / MASCULINO,0
La Paz,20101,La Paz,2017,1,a. Menor de 6 meses / MASCULINO,0
La Paz,20901,Luribay,2017,1,a. Menor de 6 meses / MASCULINO,0
Oruro,40702,Machacamarca,2017,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70903,Mairana,2017,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31301,Mizque,2017,1,a. Menor de 6 meses / MASCULINO,0
La Paz,20402,Mocomoco,2017,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30302,Morochata,2017,1,a. Menor de 6 meses / MASCULINO,0
Oruro,40101,Oruro,2017,1,a. Menor de 6 meses / MASCULINO,0
Oruro,40602,Pazña,2017,1,a. Menor de 6 meses / MASCULINO,0
Potosí,50101,Potosi,2017,1,a. Menor de 6 meses / MASCULINO,0
La Paz,21201,Pucarani,2017,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2017,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31401,Punata,2017,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30901,Quillacollo,2017,1,a. Menor de 6 meses / MASCULINO,0
Potosí,50402,Ravelo,2017,1,a. Menor de 6 meses / MASCULINO,0
Beni,80201,Riberalta,2017,1,a. Menor de 6 meses / MASCULINO,1
Beni,80304,Rurrenabaque,2017,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31001,Sacaba,2017,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70901,Samaipata,2017,1,a. Menor de 6 meses / MASCULINO,0
Beni,80501,San Ignacio,2017,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70301,San Ignacio De Velasco,2017,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71104,San Julian,2017,1,a. Menor de 6 meses / MASCULINO,0
Tarija,60501,San Lorenzo(tja),2017,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10702,San Lucas,2017,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71201,San Matias,2017,1,a. Menor de 6 meses / MASCULINO,0
Potosí,50501,San Pedro De Buena Vista,2017,1,a. Menor de 6 meses / MASCULINO,0
La Paz,21702,San Pedro De Tiquina,2017,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70602,Santa Rosa Del Sara,2017,1,a. Menor de 6 meses / MASCULINO,0
La Paz,21301,Sica Sica (villa Aroma),2017,1,a. Menor de 6 meses / MASCULINO,0
Oruro,40104,Soracachi,2017,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10101,Sucre,2017,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30401,Tarata,2017,1,a. Menor de 6 meses / MASCULINO,0
