department,municipality_id,municipality,year,month,population,value
La Paz,20101,La Paz,2018,1,a. Menor de 6 meses - D / MASCULINO,0
Santa Cruz,70301,San Ignacio De Velasco,2018,1,a. Menor de 6 meses - D / MASCULINO,0
Beni,80101,Trinidad,2018,1,a. Menor de 6 meses - D / MASCULINO,0
La Paz,20903,Yaco,2018,1,a. Menor de 6 meses - D / MASCULINO,0
La Paz,22001,Caranavi,2018,2,a. Menor de 6 meses - D / MASCULINO,0
Potosí,50203,Llallagua,2018,2,a. Menor de 6 meses - D / MASCULINO,0
Beni,80302,San Borja,2018,2,a. Menor de 6 meses - D / MASCULINO,0
La Paz,22001,Caranavi,2018,3,a. Menor de 6 meses - D / MASCULINO,0
Pando,90101,Cobija,2018,3,a. Menor de 6 meses - D / MASCULINO,0
Cochabamba,30101,Cochabamba,2018,3,a. Menor de 6 meses - D / MASCULINO,0
La Paz,20105,El Alto,2018,3,a. Menor de 6 meses - D / MASCULINO,0
La Paz,21102,Irupana (villa De Lanza),2018,3,a. Menor de 6 meses - D / MASCULINO,0
Oruro,40101,Oruro,2018,3,a. Menor de 6 meses - D / MASCULINO,2
Chuquisaca,10101,Sucre,2018,3,a. Menor de 6 meses - D / MASCULINO,0
Cochabamba,30101,Cochabamba,2018,4,a. Menor de 6 meses - D / MASCULINO,0
Potosí,50401,Colquechaca,2018,4,a. Menor de 6 meses - D / MASCULINO,0
La Paz,20105,El Alto,2018,4,a. Menor de 6 meses - D / MASCULINO,0
La Paz,20101,La Paz,2018,4,a. Menor de 6 meses - D / MASCULINO,0
Beni,80201,Riberalta,2018,4,a. Menor de 6 meses - D / MASCULINO,0
La Paz,20805,San Andres De Machaca,2018,4,a. Menor de 6 meses - D / MASCULINO,0
Santa Cruz,70301,San Ignacio De Velasco,2018,4,a. Menor de 6 meses - D / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2018,4,a. Menor de 6 meses - D / MASCULINO,0
La Paz,20306,Waldo Ballivian,2018,4,a. Menor de 6 meses - D / MASCULINO,0
La Paz,22001,Caranavi,2018,5,a. Menor de 6 meses - D / MASCULINO,0
Potosí,50401,Colquechaca,2018,5,a. Menor de 6 meses - D / MASCULINO,0
La Paz,20105,El Alto,2018,5,a. Menor de 6 meses - D / MASCULINO,0
Beni,80201,Riberalta,2018,5,a. Menor de 6 meses - D / MASCULINO,1
Santa Cruz,70301,San Ignacio De Velasco,2018,5,a. Menor de 6 meses - D / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2018,5,a. Menor de 6 meses - D / MASCULINO,0
Santa Cruz,70703,Cabezas,2018,6,a. Menor de 6 meses - D / MASCULINO,0
Potosí,50302,Chaqui,2018,6,a. Menor de 6 meses - D / MASCULINO,0
Santa Cruz,70702,Charagua,2018,6,a. Menor de 6 meses - D / MASCULINO,0
Cochabamba,30101,Cochabamba,2018,6,a. Menor de 6 meses - D / MASCULINO,0
La Paz,20105,El Alto,2018,6,a. Menor de 6 meses - D / MASCULINO,1
Pando,90402,Ingavi (humaita),2018,6,a. Menor de 6 meses - D / MASCULINO,0
La Paz,20101,La Paz,2018,6,a. Menor de 6 meses - D / MASCULINO,0
Oruro,40101,Oruro,2018,6,a. Menor de 6 meses - D / MASCULINO,1
Beni,80201,Riberalta,2018,6,a. Menor de 6 meses - D / MASCULINO,0
Cochabamba,31001,Sacaba,2018,6,a. Menor de 6 meses - D / MASCULINO,0
Potosí,50701,Sacaca,2018,6,a. Menor de 6 meses - D / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2018,6,a. Menor de 6 meses - D / MASCULINO,1
La Paz,21302,Umala,2018,6,a. Menor de 6 meses - D / MASCULINO,0
Tarija,60402,Yunchara,2018,6,a. Menor de 6 meses - D / MASCULINO,0
La Paz,22001,Caranavi,2018,7,a. Menor de 6 meses - D / MASCULINO,0
Pando,90101,Cobija,2018,7,a. Menor de 6 meses - D / MASCULINO,1
Potosí,50401,Colquechaca,2018,7,a. Menor de 6 meses - D / MASCULINO,0
La Paz,20105,El Alto,2018,7,a. Menor de 6 meses - D / MASCULINO,0
La Paz,20101,La Paz,2018,7,a. Menor de 6 meses - D / MASCULINO,0
La Paz,21201,Pucarani,2018,7,a. Menor de 6 meses - D / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2018,7,a. Menor de 6 meses - D / MASCULINO,1
Potosí,51101,Puna,2018,7,a. Menor de 6 meses - D / MASCULINO,0
Potosí,50701,Sacaca,2018,7,a. Menor de 6 meses - D / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2018,7,a. Menor de 6 meses - D / MASCULINO,0
Cochabamba,30101,Cochabamba,2018,8,a. Menor de 6 meses - D / MASCULINO,0
