department,municipality_id,municipality,year,month,population,value
Tarija,60202,Bermejo,2019,1,a. Menor de 6 meses / MASCULINO,0
Pando,90101,Cobija,2019,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30101,Cochabamba,2019,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71106,Cuatro Cañadas,2019,1,a. Menor de 6 meses / MASCULINO,0
La Paz,20105,El Alto,2019,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70105,El Torno,2019,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70104,La Guardia,2019,1,a. Menor de 6 meses / MASCULINO,0
La Paz,20101,La Paz,2019,1,a. Menor de 6 meses / MASCULINO,0
Oruro,40101,Oruro,2019,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70502,Pailon,2019,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31203,Pocona,2019,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2019,1,a. Menor de 6 meses / MASCULINO,0
Beni,80201,Riberalta,2019,1,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31001,Sacaba,2019,1,a. Menor de 6 meses / MASCULINO,0
Potosí,50501,San Pedro De Buena Vista,2019,1,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,1,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10101,Sucre,2019,1,a. Menor de 6 meses / MASCULINO,0
Beni,80101,Trinidad,2019,1,a. Menor de 6 meses / MASCULINO,0
Potosí,51501,Villazon,2019,1,a. Menor de 6 meses / MASCULINO,0
Tarija,60202,Bermejo,2019,2,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30101,Cochabamba,2019,2,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71106,Cuatro Cañadas,2019,2,a. Menor de 6 meses / MASCULINO,0
La Paz,20105,El Alto,2019,2,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70105,El Torno,2019,2,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31206,Entre Rios Cbba,2019,2,a. Menor de 6 meses / MASCULINO,0
Beni,80202,Guayaramerin,2019,2,a. Menor de 6 meses / MASCULINO,0
La Paz,20101,La Paz,2019,2,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71001,Montero,2019,2,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70202,Okinawa,2019,2,a. Menor de 6 meses / MASCULINO,0
Oruro,40101,Oruro,2019,2,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2019,2,a. Menor de 6 meses / MASCULINO,0
Beni,80201,Riberalta,2019,2,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31001,Sacaba,2019,2,a. Menor de 6 meses / MASCULINO,0
Beni,80501,San Ignacio,2019,2,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,2,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10101,Sucre,2019,2,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10601,Tarabuco,2019,2,a. Menor de 6 meses / MASCULINO,0
Beni,80101,Trinidad,2019,2,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70201,Warnes,2019,2,a. Menor de 6 meses / MASCULINO,0
Tarija,60202,Bermejo,2019,3,a. Menor de 6 meses / MASCULINO,0
Potosí,51103,Ckochas,2019,3,a. Menor de 6 meses / MASCULINO,0
Pando,90101,Cobija,2019,3,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30101,Cochabamba,2019,3,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70102,Cotoca,2019,3,a. Menor de 6 meses / MASCULINO,0
La Paz,20105,El Alto,2019,3,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70105,El Torno,2019,3,a. Menor de 6 meses / MASCULINO,0
Pando,90203,Filadelfia,2019,3,a. Menor de 6 meses / MASCULINO,0
Beni,80202,Guayaramerin,2019,3,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70104,La Guardia,2019,3,a. Menor de 6 meses / MASCULINO,0
La Paz,20101,La Paz,2019,3,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71001,Montero,2019,3,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70202,Okinawa,2019,3,a. Menor de 6 meses / MASCULINO,0
Oruro,40101,Oruro,2019,3,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10103,Poroma,2019,3,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10302,Presto,2019,3,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2019,3,a. Menor de 6 meses / MASCULINO,0
Beni,80201,Riberalta,2019,3,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31001,Sacaba,2019,3,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10702,San Lucas,2019,3,a. Menor de 6 meses / MASCULINO,0
Potosí,50501,San Pedro De Buena Vista,2019,3,a. Menor de 6 meses / MASCULINO,0
Beni,80401,Santa Ana,2019,3,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,3,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10101,Sucre,2019,3,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10601,Tarabuco,2019,3,a. Menor de 6 meses / MASCULINO,0
Tarija,60101,Tarija,2019,3,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30903,Tiquipaya,2019,3,a. Menor de 6 meses / MASCULINO,0
Beni,80101,Trinidad,2019,3,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70201,Warnes,2019,3,a. Menor de 6 meses / MASCULINO,0
Tarija,60202,Bermejo,2019,4,a. Menor de 6 meses / MASCULINO,0
Pando,90101,Cobija,2019,4,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30101,Cochabamba,2019,4,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30905,Colcapirhua,2019,4,a. Menor de 6 meses / MASCULINO,0
La Paz,20105,El Alto,2019,4,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70105,El Torno,2019,4,a. Menor de 6 meses / MASCULINO,0
Beni,80202,Guayaramerin,2019,4,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10304,Icla,2019,4,a. Menor de 6 meses / MASCULINO,0
La Paz,20101,La Paz,2019,4,a. Menor de 6 meses / MASCULINO,0
Oruro,40101,Oruro,2019,4,a. Menor de 6 meses / MASCULINO,0
La Paz,21201,Pucarani,2019,4,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2019,4,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30901,Quillacollo,2019,4,a. Menor de 6 meses / MASCULINO,0
Beni,80201,Riberalta,2019,4,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31001,Sacaba,2019,4,a. Menor de 6 meses / MASCULINO,0
Beni,80501,San Ignacio,2019,4,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,4,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10101,Sucre,2019,4,a. Menor de 6 meses / MASCULINO,0
Beni,80101,Trinidad,2019,4,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70201,Warnes,2019,4,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30201,Aiquile,2019,5,a. Menor de 6 meses / MASCULINO,0
Tarija,60202,Bermejo,2019,5,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10701,Camargo,2019,5,a. Menor de 6 meses / MASCULINO,0
Pando,90101,Cobija,2019,5,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30101,Cochabamba,2019,5,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30905,Colcapirhua,2019,5,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70102,Cotoca,2019,5,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71106,Cuatro Cañadas,2019,5,a. Menor de 6 meses / MASCULINO,0
La Paz,20105,El Alto,2019,5,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70105,El Torno,2019,5,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31206,Entre Rios Cbba,2019,5,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70104,La Guardia,2019,5,a. Menor de 6 meses / MASCULINO,0
La Paz,20101,La Paz,2019,5,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71001,Montero,2019,5,a. Menor de 6 meses / MASCULINO,0
Oruro,40101,Oruro,2019,5,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70502,Pailon,2019,5,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2019,5,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30901,Quillacollo,2019,5,a. Menor de 6 meses / MASCULINO,0
Beni,80201,Riberalta,2019,5,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70503,Robore,2019,5,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31001,Sacaba,2019,5,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,5,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31602,Shinaota,2019,5,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10101,Sucre,2019,5,a. Menor de 6 meses / MASCULINO,0
Tarija,60101,Tarija,2019,5,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30903,Tiquipaya,2019,5,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31601,Tiraque (cbba),2019,5,a. Menor de 6 meses / MASCULINO,0
Beni,80101,Trinidad,2019,5,a. Menor de 6 meses / MASCULINO,0
Potosí,50801,Tupiza,2019,5,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30502,Vacas,2019,5,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31003,Villa Tunari,2019,5,a. Menor de 6 meses / MASCULINO,0
Potosí,51501,Villazon,2019,5,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70201,Warnes,2019,5,a. Menor de 6 meses / MASCULINO,0
Tarija,60202,Bermejo,2019,6,a. Menor de 6 meses / MASCULINO,0
La Paz,22001,Caranavi,2019,6,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30101,Cochabamba,2019,6,a. Menor de 6 meses / MASCULINO,0
La Paz,20105,El Alto,2019,6,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70105,El Torno,2019,6,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31206,Entre Rios Cbba,2019,6,a. Menor de 6 meses / MASCULINO,0
Beni,80202,Guayaramerin,2019,6,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70104,La Guardia,2019,6,a. Menor de 6 meses / MASCULINO,0
La Paz,20101,La Paz,2019,6,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71001,Montero,2019,6,a. Menor de 6 meses / MASCULINO,0
Oruro,40101,Oruro,2019,6,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2019,6,a. Menor de 6 meses / MASCULINO,0
Beni,80201,Riberalta,2019,6,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31001,Sacaba,2019,6,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,6,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70602,Santa Rosa Del Sara,2019,6,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10403,Sopachuy,2019,6,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10101,Sucre,2019,6,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10601,Tarabuco,2019,6,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30903,Tiquipaya,2019,6,a. Menor de 6 meses / MASCULINO,0
Beni,80101,Trinidad,2019,6,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71502,Urubicha,2019,6,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70201,Warnes,2019,6,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30201,Aiquile,2019,7,a. Menor de 6 meses / MASCULINO,0
La Paz,20701,Apolo,2019,7,a. Menor de 6 meses / MASCULINO,0
Tarija,60202,Bermejo,2019,7,a. Menor de 6 meses / MASCULINO,0
La Paz,22001,Caranavi,2019,7,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71403,Carmen Rivero Torrez,2019,7,a. Menor de 6 meses / MASCULINO,0
Pando,90101,Cobija,2019,7,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30101,Cochabamba,2019,7,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30905,Colcapirhua,2019,7,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70102,Cotoca,2019,7,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71106,Cuatro Cañadas,2019,7,a. Menor de 6 meses / MASCULINO,0
La Paz,20105,El Alto,2019,7,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,70105,El Torno,2019,7,a. Menor de 6 meses / MASCULINO,0
Cochabamba,31206,Entre Rios Cbba,2019,7,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71004,Fernandez Alonso,2019,7,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71002,General Saavedra,2019,7,a. Menor de 6 meses / MASCULINO,0
Beni,80202,Guayaramerin,2019,7,a. Menor de 6 meses / MASCULINO,0
La Paz,20101,La Paz,2019,7,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71003,Mineros,2019,7,a. Menor de 6 meses / MASCULINO,0
Santa Cruz,71001,Montero,2019,7,a. Menor de 6 meses / MASCULINO,0
Oruro,40101,Oruro,2019,7,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10401,Padilla,2019,7,a. Menor de 6 meses / MASCULINO,0
