municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
EL ALTO,sospecha diagnostica,tos ferina,2007-01-01,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2007-01-01,5,0,0,0,0,5
QUILLACOLLO,sospecha diagnostica,tos ferina,2007-01-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2007-01-01,1,0,0,0,0,1
VILLA TUNARI,sospecha diagnostica,tos ferina,2007-01-01,0,1,0,0,0,1
VINTO,sospecha diagnostica,tos ferina,2007-01-01,2,0,0,0,0,2
COCHABAMBA,sospecha diagnostica,tos ferina,2007-02-01,1,0,0,0,0,1
EL ALTO,sospecha diagnostica,tos ferina,2007-02-01,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2007-02-01,2,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2007-02-01,1,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,tos ferina,2007-03-01,1,0,0,0,0,1
EL ALTO,sospecha diagnostica,tos ferina,2007-03-01,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2007-03-01,4,1,1,0,0,6
ORURO,sospecha diagnostica,tos ferina,2007-03-01,0,1,1,0,0,2
SAN JULIAN,sospecha diagnostica,tos ferina,2007-03-01,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2007-04-01,12,2,1,0,0,15
ORURO,sospecha diagnostica,tos ferina,2007-04-01,0,1,0,0,0,1
TARIJA,sospecha diagnostica,tos ferina,2007-04-01,1,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,tos ferina,2007-05-01,2,0,0,0,0,2
LA PAZ,sospecha diagnostica,tos ferina,2007-05-01,3,2,1,0,0,6
QUILLACOLLO,sospecha diagnostica,tos ferina,2007-05-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2007-05-01,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2007-06-01,3,1,0,0,0,4
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2007-06-01,0,1,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2007-07-01,5,0,0,0,0,5
SACABA,sospecha diagnostica,tos ferina,2007-07-01,1,1,2,0,0,4
LA PAZ,sospecha diagnostica,tos ferina,2007-08-01,2,0,0,0,0,2
SACABA,sospecha diagnostica,tos ferina,2007-08-01,0,0,1,0,0,1
EL ALTO,sospecha diagnostica,tos ferina,2007-09-01,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2007-10-01,6,0,0,0,0,6
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2007-10-01,2,0,0,0,0,2
LA PAZ,sospecha diagnostica,tos ferina,2007-11-01,1,1,1,0,0,3
LA PAZ,sospecha diagnostica,tos ferina,2007-12-01,6,3,0,0,0,9
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2007-12-01,1,0,0,0,0,1
