,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
COCHABAMBA,infecc. de transmision sexual,sida *,2010-01-01,0,0,1,0,0,0,1,0,4,1,0,0,6,1,7
LA PAZ,infecc. de transmision sexual,sida *,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
PUNATA,infecc. de transmision sexual,sida *,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SUCRE,infecc. de transmision sexual,sida *,2010-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TARIJA,infecc. de transmision sexual,sida *,2010-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
VILLA MONTES,infecc. de transmision sexual,sida *,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COCHABAMBA,infecc. de transmision sexual,sida *,2010-02-01,0,0,0,0,0,0,0,0,11,3,0,0,11,3,14
EL ALTO,infecc. de transmision sexual,sida *,2010-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LA PAZ,infecc. de transmision sexual,sida *,2010-02-01,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3
ORURO,infecc. de transmision sexual,sida *,2010-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,infecc. de transmision sexual,sida *,2010-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
TIQUIPAYA,infecc. de transmision sexual,sida *,2010-02-01,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
COCHABAMBA,infecc. de transmision sexual,sida *,2010-03-01,0,0,0,0,0,0,0,0,5,4,0,0,5,4,9
LA PAZ,infecc. de transmision sexual,sida *,2010-03-01,0,0,0,0,0,0,0,0,2,4,0,0,2,4,6
SANTA CRUZ DE LA SIERRA,infecc. de transmision sexual,sida *,2010-03-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SUCRE,infecc. de transmision sexual,sida *,2010-03-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
WARNES,infecc. de transmision sexual,sida *,2010-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COCHABAMBA,infecc. de transmision sexual,sida *,2010-04-01,0,0,0,0,0,0,0,0,4,1,1,0,5,1,6
LA PAZ,infecc. de transmision sexual,sida *,2010-04-01,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3
ORURO,infecc. de transmision sexual,sida *,2010-04-01,0,0,0,0,0,0,0,0,3,0,1,0,4,0,4
QUILLACOLLO,infecc. de transmision sexual,sida *,2010-04-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,infecc. de transmision sexual,sida *,2010-04-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TIQUIPAYA,infecc. de transmision sexual,sida *,2010-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
