,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTEQUERA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ATOCHA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAJUATA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CAMIRI,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CARANAVI,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COCHABAMBA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,1,0,0,0,0,0,1,1,5,13,1,6,0,1,0,0,8,21,29
COLLANA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COTOCA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
EL ALTO,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,4,3,13,0,4,1,2,1,1,5,24,29
EL TORNO,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
GUAYARAMERIN,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
GUTIERREZ,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,4,5
ICLA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
INCAHUASI,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
IRUPANA (VILLA DE LANZA),infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
JESUS DE MACHACA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
LA ASUNTA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA GUARDIA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
LA PAZ,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,2,2,1,1,0,3,2,2,3,19,0,2,0,0,0,0,8,29,37
LICOMA PAMPA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LLALLAGUA,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
MONTERO,infecc. de transmision sexual,ulcera genital,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
