,group,variable,month,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
AZURDUY,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
BATALLAS,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
CHARAGUA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
COBIJA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,15,0,15
COLCAPIRHUA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,0,1,1
CONCEPCION,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
COPACABANA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa,2021-01-01,5,0,5
HUARINA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,0,1,1
LA ASUNTA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
LA PAZ,salud sexual y reproductiva,preeclampsia severa,2021-01-01,15,0,15
LAJA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
ORURO,salud sexual y reproductiva,preeclampsia severa,2021-01-01,18,0,18
POJO (CBBA),salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
PUERTO GONZALO MORENO,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa,2021-01-01,2,0,2
RAQAYPAMPA(ETA),salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
RIBERALTA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
ROBORE,salud sexual y reproductiva,preeclampsia severa,2021-01-01,3,0,3
SAMAIPATA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
SAN BUENA VENTURA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa,2021-01-01,2,0,2
SAN PEDRO,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,53,6,59
SANTIAGO DE HUARI,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
SANTIAGO DE MACHACA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,0,1,1
SHINAOTA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
SIPE SIPE,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
SOPACHUY,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
SUCRE,salud sexual y reproductiva,preeclampsia severa,2021-01-01,5,0,5
TARIJA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,2,1,3
TITO YUPANQUI (PARQUIPUJIO),salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
TRINIDAD,salud sexual y reproductiva,preeclampsia severa,2021-01-01,6,0,6
VILLA MONTES,salud sexual y reproductiva,preeclampsia severa,2021-01-01,1,0,1
YACUIBA,salud sexual y reproductiva,preeclampsia severa,2021-01-01,2,0,2
ACHOCALLA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,2,0,2
ANZALDO,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
APOLO,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
CAIROMA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,2,0,2
CHARAGUA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,2,0,2
COCAPATA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,10,0,10
COLLANA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,0,1,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa,2021-02-01,6,0,6
FERNANDEZ ALONSO,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
GUANAY,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
IXIAMAS,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
LA ASUNTA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
LA GUARDIA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,2,0,2
LA PAZ,salud sexual y reproductiva,preeclampsia severa,2021-02-01,10,0,10
MONTERO,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
ORURO,salud sexual y reproductiva,preeclampsia severa,2021-02-01,6,0,6
QUILLACOLLO,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
RIBERALTA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,6,0,6
ROBORE,salud sexual y reproductiva,preeclampsia severa,2021-02-01,2,0,2
SACABA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,2,0,2
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa,2021-02-01,2,0,2
SAN PEDRO DE TIQUINA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,45,15,60
SANTUARIO DE QUILLACAS,salud sexual y reproductiva,preeclampsia severa,2021-02-01,0,1,1
SIPE SIPE,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
SUCRE,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
TACOPAYA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
TARIJA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,2,0,2
TIRAQUE (CBBA),salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
TOTORA(CBBA),salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
TRINIDAD,salud sexual y reproductiva,preeclampsia severa,2021-02-01,16,0,16
VACAS,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
VIACHA,salud sexual y reproductiva,preeclampsia severa,2021-02-01,3,0,3
VILLA MONTES,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
VILLA TUNARI,salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),salud sexual y reproductiva,preeclampsia severa,2021-02-01,1,0,1
ACHOCALLA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,0,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa,2021-03-01,2,0,2
BERMEJO,salud sexual y reproductiva,preeclampsia severa,2021-03-01,2,0,2
CARANAVI,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
CHARAGUA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,2,0,2
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,18,1,19
COLCAPIRHUA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,2,0,2
COMANCHE,salud sexual y reproductiva,preeclampsia severa,2021-03-01,0,1,1
CONCEPCION,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
CUEVO,salud sexual y reproductiva,preeclampsia severa,2021-03-01,0,2,2
EL ALTO,salud sexual y reproductiva,preeclampsia severa,2021-03-01,8,0,8
ENTRE RIOS TRJ,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,1,2
ENTRE RIOS CBBA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
FERNANDEZ ALONSO,salud sexual y reproductiva,preeclampsia severa,2021-03-01,2,0,2
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
LA PAZ,salud sexual y reproductiva,preeclampsia severa,2021-03-01,30,0,30
MONTERO,salud sexual y reproductiva,preeclampsia severa,2021-03-01,2,0,2
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
PUNATA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,2,0,2
QUILLACOLLO,salud sexual y reproductiva,preeclampsia severa,2021-03-01,3,0,3
RIBERALTA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,6,0,6
ROBORE,salud sexual y reproductiva,preeclampsia severa,2021-03-01,5,0,5
SACABA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
SALINAS DE GARCI MENDOZA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
SAN ANTONIO DE LOMERIO,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa,2021-03-01,2,0,2
SAN LORENZO(TJA),salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,1,2
SANTA ANA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,69,14,83
SANTIAGO DE HUARI,salud sexual y reproductiva,preeclampsia severa,2021-03-01,0,1,1
SIPE SIPE,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
SUCRE,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
TARABUCO,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
TARIJA,salud sexual y reproductiva,preeclampsia severa,2021-03-01,1,0,1
