,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
EL TORNO,tuberculosis y lepra,lepra multibacilar,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MORO MORO,tuberculosis y lepra,lepra multibacilar,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL TORNO,tuberculosis y lepra,lepra multibacilar,2023-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
EL TORNO,tuberculosis y lepra,lepra multibacilar,2023-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
PORTACHUELO,tuberculosis y lepra,lepra multibacilar,2023-03-01,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,3
SAN IGNACIO,tuberculosis y lepra,lepra multibacilar,2023-04-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,4,1,5
SAN MATIAS,tuberculosis y lepra,lepra multibacilar,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SUCRE,tuberculosis y lepra,lepra multibacilar,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EL TORNO,tuberculosis y lepra,lepra multibacilar,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,3,1,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,lepra multibacilar,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,tuberculosis y lepra,lepra multibacilar,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL TORNO,tuberculosis y lepra,lepra multibacilar,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
SAN MATIAS,tuberculosis y lepra,lepra multibacilar,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,lepra multibacilar,2023-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
EL TORNO,tuberculosis y lepra,lepra multibacilar,2023-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,4,0,4
SAN LORENZO(TJA),tuberculosis y lepra,lepra multibacilar,2023-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,lepra multibacilar,2023-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL TORNO,tuberculosis y lepra,lepra multibacilar,2023-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
SAN LORENZO(TJA),tuberculosis y lepra,lepra multibacilar,2023-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COCHABAMBA,tuberculosis y lepra,lepra multibacilar,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
EL ALTO,tuberculosis y lepra,lepra multibacilar,2023-09-01,4,3,0,0,4,2,1,2,1,2,2,3,6,4,1,3,1,4,2,5,22,28,50
EL TORNO,tuberculosis y lepra,lepra multibacilar,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GUAYARAMERIN,tuberculosis y lepra,lepra multibacilar,2023-09-01,0,0,0,0,0,0,0,0,0,1,1,2,1,5,1,0,0,2,2,5,5,15,20
RIBERALTA,tuberculosis y lepra,lepra multibacilar,2023-09-01,0,0,0,0,1,0,3,2,2,0,2,1,8,4,3,1,0,0,1,0,20,8,28
SAN LORENZO(TJA),tuberculosis y lepra,lepra multibacilar,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SENA,tuberculosis y lepra,lepra multibacilar,2023-09-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,lepra multibacilar,2023-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
EL PUENTE(STC),tuberculosis y lepra,lepra multibacilar,2023-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
EL TORNO,tuberculosis y lepra,lepra multibacilar,2023-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,lepra multibacilar,2023-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PORTACHUELO,tuberculosis y lepra,lepra multibacilar,2023-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,lepra multibacilar,2023-10-01,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,2,1,6,2,8
EL TORNO,tuberculosis y lepra,lepra multibacilar,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,3
SAN LORENZO(TJA),tuberculosis y lepra,lepra multibacilar,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
EL TORNO,tuberculosis y lepra,lepra multibacilar,2023-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3
IXIAMAS,tuberculosis y lepra,lepra multibacilar,2023-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,lepra multibacilar,2023-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
